position_cycle_id,domain_class,stable_trade_id,trade_id,symbol,direction,cycle_start_time_beijing,cycle_end_time_beijing,root_position_source_row,root_fill_count,realized_pnl,commission_cost,funding_fee_signed,funding_event_count,legacy_strict_net,commission_rebate,rebate_event_count,economic_net,economic_outcome,funding_zero_semantics,unknown_coercion
S05-CYC-d0b035181cc102fa14fcad88,ACTIVE,K03-ACT-D0B035181CC102FA14FCAD88,T050,BTCUSDT,SHORT,2026-06-03T03:36:34+08:00,2026-06-03T03:52:00+08:00,60,28,-5331.1378,364.40241360,0,0,-5695.54021360,72.88048272,28,-5622.65973088,LOSS,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-ebb507e87d13faef0a9bd0f9,ACTIVE,K03-ACT-EBB507E87D13FAEF0A9BD0F9,T051,BTCUSDT,SHORT,2026-06-03T03:53:00+08:00,2026-06-03T04:02:00+08:00,61,27,586.476,79.67187600,0,0,506.80412400,15.93437520,27,522.73849920,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-a8016bc892b3da8122bb90b9,ACTIVE,K03-ACT-A8016BC892B3DA8122BB90B9,T052,BTCUSDT,LONG,2026-06-03T04:20:13+08:00,2026-06-03T04:31:26+08:00,62,16,274.6800,75.16426397,0,0,199.51573603,15.03285282,16,214.54858885,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-b2a3bf9502d2d2f99708905e,ACTIVE,K03-ACT-B2A3BF9502D2D2F99708905E,T053,BTCUSDT,SHORT,2026-06-03T05:05:10+08:00,2026-06-03T05:12:06+08:00,63,6,338.548,80.91896400,0,0,257.62903600,16.18379280,6,273.81282880,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-41953eb91423fdc479e19793,ACTIVE,K03-ACT-41953EB91423FDC479E19793,T054,BTCUSDT,LONG,2026-06-03T06:03:27+08:00,2026-06-03T06:23:21+08:00,64,11,65.04189995,63.48635842,0,0,1.55554153,12.69727168,11,14.25281321,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-64e86f51a492fa303a0a70b1,ACTIVE,K03-ACT-64E86F51A492FA303A0A70B1,T055,BTCUSDT,SHORT,2026-06-03T07:05:00+08:00,2026-06-03T07:25:38+08:00,65,20,221.86899995,78.77156540,0,0,143.09743455,15.75431308,20,158.85174763,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-c064f0ea3faa7c576562e3e2,ACTIVE,K03-ACT-C064F0EA3FAA7C576562E3E2,T056,BTCUSDT,SHORT,2026-06-03T07:38:22+08:00,2026-06-03T09:38:25+08:00,66,20,122.99999999,66.65060000,7.17196196,1,63.52136195,13.33012000,20,76.85148195,WIN,OBSERVED_EVENT_SUM,NONE
S05-CYC-22b0baad4580d14dc809c716,ACTIVE,K03-ACT-22B0BAAD4580D14DC809C716,T057,MRVLUSDT,LONG,2026-06-03T09:58:42+08:00,2026-06-03T10:18:29+08:00,67,58,70.32919986,14.85190063,0,0,55.47729923,2.97038013,31,58.44767936,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-06054d5fd9c4ac58473cba53,ACTIVE,K03-ACT-06054D5FD9C4AC58473CBA53,T058,MUUSDT,LONG,2026-06-03T16:40:30+08:00,2026-06-03T18:36:27+08:00,69,502,434.80619805,99.87856321,0,0,334.92763484,19.97571281,463,354.90334765,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-906d828e86add31dd43f2c2d,ACTIVE,K03-ACT-906D828E86ADD31DD43F2C2D,T059,XRPUSDT,SHORT,2026-06-03T17:49:35+08:00,2026-06-03T17:57:29+08:00,68,28,-199.7006,49.48580866,0,0,-249.18640866,9.89716173,28,-239.28924693,LOSS,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
